200 ['504', '226', '4161858', 'de']
200 ['505', '2425043', '4161858', 'fr']
200 ['506', '227', '4161939', 'de']
200 ['507', '2425044', '4161939', 'fr']
200 ['508', '228', '4161955', 'de']
200 ['509', '2425045', '4161955', 'fr']
200 ['510', '2425046', '000416198X', 'fr']
200 ['513', '2425047', '4162064', 'fr']
200 ['512', '229', '4162064', 'de']
200 ['514', '230', '4162072', 'de']
200 ['511', '4980684', '000416198X', 'it']
200 ['515', '2425048', '4162072', 'fr']
200 ['516', '231', '4162188', 'de']
404 ['517', '2425049', '4162188', 'fr']
200 ['518', '232', '4162358', 'de']
200 ['519', '2425050', '4162358', 'fr']
200 ['520', '233', '4162552', 'de']
200 ['521', '2425051', '4162552', 'fr']
200 ['522', '234', '4162811', 'de']
404 ['523', '2425052', '4162811', 'fr']
200 ['524', '235', '4162838', 'de']
200 ['525', '2425053', '4162838', 'fr']
200 ['527', '2425054', '4162854', 'fr']
200 ['526', '236', '4162854', 'de']
200 ['529', '2425055', '4163230', 'fr']
200 ['528', '237', '4163230', 'de']
200 ['530', '238', '4163524', 'de']
200 ['531', '2425056', '4163524', 'fr']
200 ['532', '239', '4163583', 'de']
200 ['533', '2425057', '4163583', 'fr']
200 ['534', '4980685', '4163583', 'it']
200 ['535', '240', '4163621', 'de']
200 ['536', '2425058', '4163621', 'fr']
200 ['537', '241', '4163737', 'de']
200 ['538', '2425059', '4163737', 'fr']
200 ['539', '242', '4163788', 'de']
200 ['540', '2425060', '4163788', 'fr']
200 ['541', '2425061', '4163923', 'fr']
200 ['543', '243', '4164016', 'de']
200 ['544', '2425062', '4164016', 'fr']
404 ['542', '4980686', '4163923', 'it']
200 ['545', '244', '000416413X', 'de']
200 ['546', '2425063', '000416413X', 'fr']
200 ['547', '245', '000416444X', 'de']
200 ['548', '2425064', '000416444X', 'fr']
200 ['549', '246', '4164474', 'de']
200 ['550', '2425065', '4164474', 'fr']
200 ['551', '247', '4164482', 'de']
200 ['552', '2425066', '4164482', 'fr']
200 ['553', '248', '4164598', 'de']
200 ['554', '2425067', '4164598', 'fr']
200 ['555', '249', '4164830', 'de']
200 ['556', '2425068', '4164830', 'fr']
200 ['558', '2425069', '4164938', 'fr']
200 ['557', '250', '4164938', 'de']
200 ['560', '2425070', '000416508X', 'fr']
200 ['559', '251', '000416508X', 'de']
200 ['562', '2425071', '000416511X', 'fr']
200 ['561', '252', '000416511X', 'de']
200 ['563', '253', '4165829', 'de']
200 ['565', '254', '4165845', 'de']
200 ['564', '2425072', '4165829', 'fr']
